KOG0729	KOG2005
KOG0729	KOG4413
KOG0729	KOG2062
KOG0727	KOG3151
KOG0727	KOG1556
KOG0727	KOG2884
KOG0727	KOG0726
KOG0727	KOG0728
KOG0727	KOG0651
KOG0727	KOG2005
KOG0727	KOG4413
KOG0727	KOG2062
KOG3151	KOG1556
KOG3151	KOG2884
KOG3151	KOG0726
KOG3151	KOG0728
KOG3151	KOG0651
KOG3151	KOG2005
KOG3151	KOG4413
KOG3151	KOG2062
KOG1556	KOG2884
KOG1556	KOG0726
KOG1556	KOG0728
KOG1556	KOG0651
KOG1556	KOG2005
KOG1556	KOG4413
KOG1556	KOG2062
KOG2884	KOG0726
KOG2884	KOG0728
KOG2884	KOG0651
KOG2884	KOG2005
KOG2884	KOG4413
KOG2884	KOG2062
KOG0726	KOG0728
KOG0726	KOG0651
KOG0726	KOG2005
KOG0726	KOG4413
KOG0726	KOG2062
KOG0728	KOG0651
KOG0728	KOG2005
KOG0728	KOG4413
KOG0728	KOG2062
KOG0651	KOG2005
KOG0651	KOG4413
KOG0651	KOG2062
KOG2005	KOG4413
KOG2005	KOG2062
KOG4413	KOG2062
KOG3478	KOG3501
KOG3478	KOG3313
KOG3478	KOG3048
KOG3478	KOG1760
KOG3478	KOG4098
KOG3501	KOG3313
KOG3501	KOG3048
KOG3501	KOG1760
KOG3501	KOG4098
KOG3313	KOG3048
KOG3313	KOG1760
KOG3313	KOG4098
KOG3048	KOG1760
KOG3048	KOG4098
KOG1760	KOG4098
KOG4286	KOG0223
KOG1062	KOG1062
KOG1062	KOG0934
KOG1062	KOG0934
KOG1062	KOG1061
KOG1062	KOG0934
KOG1062	KOG0937
KOG1062	KOG0937
KOG1062	KOG0934
KOG1062	KOG0934
KOG1062	KOG1061
KOG1062	KOG0934
KOG1062	KOG0937
KOG1062	KOG0937
KOG0934	KOG0934
KOG0934	KOG1061
KOG0934	KOG0934
KOG0934	KOG0937
KOG0934	KOG0937
KOG0934	KOG1061
KOG0934	KOG0934
KOG0934	KOG0937
KOG0934	KOG0937
KOG1061	KOG0934
KOG1061	KOG0937
KOG1061	KOG0937
KOG0934	KOG0937
KOG0934	KOG0937
KOG0937	KOG0937
KOG3594	KOG3528
KOG0179	KOG0175
KOG0179	KOG0184
KOG0179	KOG0181
KOG0179	KOG0173
KOG0179	KOG0185
KOG0179	KOG0174
KOG0179	KOG0182
KOG0179	KOG0178
KOG0179	KOG0180
KOG0179	KOG0177
KOG0179	KOG0863
KOG0179	KOG0183
KOG0179	KOG0176
KOG0175	KOG0184
KOG0175	KOG0181
KOG0175	KOG0173
KOG0175	KOG0185
KOG0175	KOG0174
KOG0175	KOG0182
KOG0175	KOG0178
KOG0175	KOG0180
KOG0175	KOG0177
KOG0175	KOG0863
